epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3929.74,1.35117,0.95608,1.40842,0.54047,0.52941,0.56241,0.29455,1.21875,2.07146,1.23716,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4051.28,1.32859,0.95327,1.39776,0.73813,0.71053,0.77663,0.4641,1.02442,1.72819,1.05552,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4172.82,1.3168,0.93616,1.38805,0.71023,0.65635,0.73149,0.43014,1.08292,1.60689,1.11732,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4294.43,1.31451,0.92902,1.38751,0.37929,0.43034,0.36663,0.17525,1.56544,2.79475,1.62261,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4415.88,1.28286,0.90808,1.36668,0.56528,0.56965,0.57719,0.3012,1.29971,2.6232,1.29931,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4537.44,1.29109,0.90946,1.36973,0.72221,0.69659,0.76199,0.44584,1.12906,2.19023,1.148,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4659.09,1.26887,0.89027,1.34637,0.54606,0.50092,0.49052,0.24707,1.40182,2.90354,1.45932,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4780.51,1.26322,0.88343,1.34352,0.75836,0.70898,0.79666,0.47084,1.10323,2.09231,1.09095,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4901.91,1.24619,0.86938,1.3335,0.66672,0.58359,0.64538,0.34265,1.23433,1.39081,1.25537,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,5023.52,1.24213,0.85695,1.33269,0.86379,0.74923,0.85772,0.58043,0.88392,2.32677,0.95627,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
