epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3462.33,1.2768,0.81525,1.30941,0.88065,0.74923,0.82994,0.55643,0.90502,1.00877,0.96984,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3569.5,1.25272,0.79816,1.29305,0.8325,0.71552,0.79236,0.47604,1.08354,0.9591,1.07085,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3676.67,1.23255,0.7794,1.2804,0.89406,0.64016,0.75107,0.51157,0.89931,1.06236,0.96313,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3783.51,1.22804,0.77803,1.28454,0.86627,0.6904,0.78384,0.5117,0.9633,1.25193,1.01293,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3890.53,1.21457,0.77191,1.26582,0.84409,0.68723,0.80557,0.53857,0.89605,1.23487,0.97628,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3997.6,1.18827,0.75691,1.25126,0.88201,0.65957,0.76935,0.49303,0.96104,1.16843,0.99657,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4104.68,1.17537,0.73803,1.23785,0.86566,0.71517,0.81518,0.54041,0.93658,1.10498,0.98564,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4211.49,1.17413,0.74618,1.23682,0.88026,0.70557,0.82902,0.55264,0.91225,1.17341,0.96783,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4318.49,1.15329,0.73209,1.2244,0.87807,0.74923,0.8433,0.57591,0.89214,1.01506,0.95686,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4425.81,1.14098,0.71516,1.21994,0.9132,0.70031,0.80635,0.52232,0.97801,1.00757,1.00989,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4538.18,1.13225,0.71089,1.21325,0.90766,0.71513,0.81946,0.57024,0.86531,1.27644,0.95062,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4651.81,1.12056,0.69972,1.19515,0.83491,0.73994,0.83381,0.53854,0.95988,1.16442,0.99053,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4761.2,1.1057,0.70672,1.19104,0.86949,0.72194,0.82738,0.53588,0.96721,0.87738,0.99407,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4868.17,1.09623,0.68838,1.18632,0.89653,0.72601,0.81587,0.52884,0.95573,1.20787,0.99092,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4975.29,1.09684,0.68448,1.18627,0.87229,0.7322,0.84589,0.56989,0.89349,0.90555,0.97688,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5082.33,1.08751,0.67865,1.18938,0.87324,0.73839,0.83937,0.54639,0.94195,0.92612,0.98191,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5189.4,1.07217,0.66153,1.16247,0.85213,0.73529,0.82157,0.52886,0.94306,0.90093,0.99076,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5296.48,1.05965,0.66731,1.17211,0.82855,0.73529,0.8229,0.54029,0.93116,0.85954,0.99259,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5403.52,1.03701,0.65109,1.15081,0.88059,0.67353,0.79584,0.53096,0.91051,1.30496,0.96931,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5510.49,1.03825,0.64989,1.15209,0.84032,0.74949,0.81749,0.54617,0.91806,1.12694,0.98293,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5617.34,1.03315,0.6438,1.15282,0.87236,0.70885,0.80589,0.52582,0.92623,0.952,1.00201,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5724.27,1.01343,0.63004,1.14118,0.8577,0.71053,0.80363,0.52923,0.92333,1.09103,0.9976,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
