epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3464.53,1.19683,0.81411,1.22928,0.80824,0.74382,0.80126,0.52779,0.92856,3.08019,0.98927,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3571.75,1.17702,0.80128,1.21824,0.8748,0.71053,0.82192,0.52559,0.9769,1.56851,1.00526,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3679.03,1.15869,0.77816,1.20473,0.85486,0.74458,0.85268,0.55547,0.95767,1.5877,0.9803,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3785.99,1.15655,0.78702,1.19849,0.79925,0.70588,0.78297,0.5116,0.95119,2.00357,0.98349,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3893.26,1.14607,0.77507,1.19799,0.86966,0.71207,0.82847,0.5196,1.01212,1.22104,1.02522,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4000.44,1.13147,0.76614,1.18264,0.83097,0.79143,0.86283,0.587,0.88077,1.45311,0.95385,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4107.48,1.10018,0.74237,1.16894,0.8151,0.68924,0.79242,0.53066,0.91931,1.45581,0.97976,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4214.61,1.12191,0.75947,1.18092,0.82331,0.73065,0.80888,0.52899,0.92942,1.69642,0.99183,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4321.78,1.09275,0.73308,1.16446,0.83662,0.73839,0.84656,0.53804,0.9713,1.1657,0.98898,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4428.96,1.09034,0.72729,1.16276,0.82088,0.73778,0.83009,0.56023,0.90868,1.52832,0.97107,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4536.16,1.0826,0.72701,1.16016,0.80341,0.71053,0.792,0.50711,0.99411,1.90204,1.02906,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4643.25,1.0693,0.72398,1.15085,0.82876,0.71981,0.81916,0.46972,1.1083,1.97888,1.07852,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4750.32,1.07338,0.72832,1.15043,0.80185,0.67957,0.75225,0.48482,0.96692,1.30121,1.0032,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4857.34,1.06609,0.72829,1.15269,0.87551,0.74613,0.83337,0.55417,0.92961,1.14313,0.98967,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4964.37,1.05706,0.71044,1.14619,0.82991,0.74768,0.81668,0.53336,0.96069,1.78183,1.01126,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5071.27,1.03644,0.69922,1.13271,0.83717,0.71672,0.80321,0.53254,0.94215,1.25822,0.99135,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
