epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3213.19,1.29348,0.81074,1.33555,0.85033,0.79412,0.87245,0.57242,0.90876,2.44462,0.96676,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3312.31,1.29172,0.81019,1.31824,0.87249,0.74458,0.8594,0.5479,0.9808,2.03651,1.00344,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3411.32,1.26557,0.7995,1.3013,0.86204,0.76161,0.86634,0.56276,0.92921,2.14866,0.97382,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3510.14,1.2777,0.79912,1.30609,0.83906,0.77245,0.86859,0.56368,0.95374,2.25839,0.99818,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3609.07,1.24797,0.78352,1.29165,0.8504,0.71672,0.81974,0.55467,0.902,2.99079,0.96914,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3708.17,1.23826,0.77336,1.28526,0.87088,0.63777,0.81647,0.54225,0.92576,3.42667,0.97361,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3807.13,1.21129,0.74942,1.26538,0.88944,0.75968,0.85122,0.56743,0.89869,1.37621,0.95807,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3906.09,1.19586,0.75016,1.25514,0.90013,0.78128,0.87592,0.57773,0.9199,1.52288,0.98271,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4005.04,1.19506,0.74105,1.25386,0.82362,0.66409,0.79839,0.48219,1.06109,6.92139,1.04264,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4104.22,1.17846,0.73477,1.24477,0.88951,0.74149,0.85722,0.5439,0.96277,2.21667,0.99927,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4203.14,1.16739,0.72335,1.23495,0.79372,0.76935,0.84311,0.54114,0.96712,2.69401,1.00139,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4302.08,1.15051,0.70572,1.22092,0.78186,0.7102,0.75339,0.45183,1.08759,13.1304,1.06783,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4401.13,1.13192,0.69945,1.20918,0.88926,0.75828,0.87197,0.5833,0.9149,2.05153,0.9674,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4500.09,1.12876,0.69295,1.20618,0.86393,0.67816,0.79638,0.51594,0.9136,2.51705,0.97535,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4598.86,1.12227,0.69312,1.20575,0.86778,0.78947,0.87309,0.5796,0.88857,1.58107,0.95583,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4697.92,1.10152,0.67901,1.18981,0.86801,0.74303,0.84578,0.52039,1.00888,1.42648,1.0442,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4796.86,1.08761,0.67021,1.18225,0.87066,0.73684,0.84064,0.56244,0.9215,1.57106,0.96902,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4895.76,1.08178,0.66111,1.186,0.85789,0.76627,0.83359,0.52694,0.97339,1.94225,1.01362,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4994.61,1.07553,0.6619,1.17693,0.83405,0.78793,0.84096,0.53722,0.96244,1.94892,1.01845,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5093.58,1.07265,0.66027,1.1701,0.86271,0.71984,0.82064,0.52376,0.95094,1.88719,0.98456,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5192.5,1.0559,0.64955,1.16583,0.89079,0.79548,0.87407,0.57091,0.95433,1.28986,0.99524,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5291.76,1.04818,0.64171,1.16119,0.86736,0.72885,0.83892,0.53745,0.97026,1.42686,1.0163,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5390.74,1.02605,0.62639,1.14452,0.80868,0.77709,0.84105,0.51937,1.02712,1.52917,1.05019,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5489.72,1.01822,0.61909,1.1417,0.84048,0.7322,0.82029,0.53986,0.92121,1.1683,0.98305,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5588.66,1.02265,0.62248,1.14325,0.87583,0.76432,0.86215,0.56649,0.92611,1.59011,0.98062,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5687.65,1.0041,0.61392,1.13616,0.87348,0.70537,0.82216,0.52469,0.95802,1.40164,0.99572,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,5786.86,0.99099,0.60991,1.12473,0.85587,0.73535,0.83924,0.55271,0.93866,1.50378,0.99828,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5885.74,0.99145,0.60736,1.12402,0.87131,0.7546,0.85149,0.55213,0.93909,1.22914,0.9923,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5984.85,0.98025,0.60215,1.11276,0.86173,0.75851,0.84085,0.53499,0.96915,1.72037,1.0068,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,6083.71,0.98091,0.60046,1.11617,0.87755,0.76316,0.8421,0.53543,0.95554,1.2309,0.99598,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,6182.62,0.97851,0.59593,1.11399,0.85265,0.77036,0.84986,0.55323,0.93753,1.10769,0.97486,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,6281.53,0.94974,0.58653,1.10117,0.88098,0.74149,0.8421,0.54204,0.95047,2.47089,0.9869,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,6380.44,0.94307,0.57385,1.09654,0.88896,0.75232,0.84702,0.54254,0.94457,1.69091,0.98627,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,6479.52,0.9441,0.57701,1.09233,0.84694,0.73662,0.82825,0.52934,0.93762,1.83902,0.98161,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6578.58,0.94195,0.57281,1.09448,0.9024,0.74423,0.86246,0.55147,0.95878,1.56809,0.99985,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
