epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3661.1,1.31116,0.88291,1.35169,0.82886,0.74973,0.86489,0.56682,0.91978,1.64559,0.97917,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3774.28,1.28996,0.86243,1.33848,0.8246,0.64861,0.76799,0.49752,0.97102,6.10189,1.02618,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3887.28,1.2606,0.83804,1.31928,0.79844,0.66227,0.79706,0.48581,1.02582,2.11711,1.05672,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4000.68,1.25632,0.83167,1.31607,0.89502,0.72585,0.84689,0.57142,0.87474,1.20664,0.95214,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4113.35,1.24718,0.82308,1.3118,0.84809,0.71672,0.85202,0.58472,0.844,0.95281,0.94662,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4227.06,1.23721,0.82118,1.30814,0.86893,0.75942,0.87608,0.56555,0.92339,1.73693,0.97895,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4340.64,1.21416,0.80789,1.28398,0.90544,0.74116,0.87506,0.57071,0.90191,1.3336,0.97135,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4453.75,1.18263,0.77793,1.27108,0.86569,0.72601,0.82964,0.54792,0.92391,1.24543,0.98332,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4566.95,1.18707,0.76537,1.26241,0.83925,0.73543,0.8477,0.55745,0.91046,1.1927,0.965,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4681.38,1.16817,0.76538,1.25808,0.85485,0.71517,0.8281,0.52982,0.94116,1.87467,0.99716,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4794.59,1.14981,0.74783,1.23966,0.86129,0.71827,0.82267,0.52235,0.9404,1.59475,0.99868,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4908.16,1.13831,0.74527,1.23715,0.87867,0.75107,0.86059,0.54268,0.97038,2.18959,1.01869,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5021.48,1.13527,0.747,1.24065,0.88913,0.75727,0.86041,0.57277,0.87603,1.04454,0.97519,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5135.67,1.13043,0.72176,1.23175,0.87867,0.79721,0.88155,0.57553,0.92829,1.22894,0.99494,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,5249.03,1.10512,0.71773,1.20669,0.8713,0.72446,0.83208,0.52693,0.97594,1.32767,1.00886,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,5361.51,1.10086,0.71213,1.20532,0.86279,0.75924,0.8553,0.55089,0.95985,1.38099,1.01523,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5475,1.08949,0.70495,1.1979,0.8653,0.74579,0.84553,0.5563,0.93056,1.3744,1.00001,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5587.79,1.08916,0.70238,1.19721,0.87847,0.7833,0.86829,0.56449,0.93241,1.25473,0.97645,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5701.65,1.05573,0.67853,1.1852,0.89824,0.7678,0.86521,0.56705,0.90084,1.19603,0.97607,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5815.37,1.05645,0.68132,1.18112,0.84681,0.75303,0.8662,0.52951,1.00535,1.58765,1.02889,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5929.73,1.03628,0.6603,1.16852,0.83624,0.73514,0.83824,0.55566,0.90682,1.26385,0.96184,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6042.44,1.0435,0.67327,1.16956,0.91129,0.7633,0.86752,0.57031,0.90506,1.91688,0.97225,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6156.55,1.03745,0.65545,1.1615,0.90416,0.75542,0.86796,0.5708,0.91022,1.02684,0.97334,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,6269.91,1.01682,0.64927,1.15489,0.89124,0.73839,0.8534,0.56237,0.9054,1.16575,0.96611,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,6383.08,1.02233,0.65955,1.15876,0.87206,0.7597,0.84429,0.54431,0.9327,1.34891,0.99272,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6496.24,0.98799,0.63229,1.13354,0.86415,0.73839,0.82258,0.5458,0.89403,1.43971,0.96539,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6608.56,0.99395,0.62367,1.13772,0.87786,0.74458,0.84634,0.56001,0.91161,1.44205,0.98612,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
